@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
95,'2023/12/21 03:08:47:774',1,-0.024691,0.035829,0.015166,0.511292,-2.905337,0.393294,1
96,'2023/12/21 03:08:47:812',1,0.060061,0.050573,-0.021217,0.513433,-2.914042,0.394353,1
97,'2023/12/21 03:08:47:841',1,0.055455,0.060168,-0.03823,0.511766,-2.930269,0.392778,1
98,'2023/12/21 03:08:47:874',1,0.08869,0.092047,-0.08985,0.505168,-2.948604,0.386522,1
99,'2023/12/21 03:08:47:907',1,0.088686,0.09319,-0.106029,0.49791,-2.951967,0.374174,1
100,'2023/12/21 03:08:47:940',1,-0.034102,0.038907,-0.083464,0.485645,-2.94028,0.352655,1
101,'2023/12/21 03:08:47:974',1,-0.092182,-0.03206,0.004009,0.479514,-2.932491,0.344592,1
102,'2023/12/21 03:08:48:009',1,0.016484,0.016049,0.021671,0.479219,-2.911176,0.33141,1
103,'2023/12/21 03:08:48:041',1,-0.00002,-0.050688,0.085618,0.488879,-2.871272,0.305014,1
104,'2023/12/21 03:08:48:074',1,0.013429,-0.033476,0.079491,0.506732,-2.828198,0.275248,1
105,'2023/12/21 03:08:48:108',1,-0.041376,-0.059858,-0.052857,0.527358,-2.781247,0.235779,1
106,'2023/12/21 03:08:48:144',1,0.039759,-0.054575,0.003507,0.539572,-2.751872,0.207547,1
107,'2023/12/21 03:08:48:176',1,0.022447,-0.054216,-0.059834,0.542056,-2.743224,0.189538,1
108,'2023/12/21 03:08:48:207',1,-0.059878,-0.087433,-0.033273,0.535302,-2.750841,0.18238,1
109,'2023/12/21 03:08:48:241',1,-0.050191,-0.07131,-0.02512,0.522042,-2.773093,0.187588,1
110,'2023/12/21 03:08:48:274',1,-0.050707,-0.062093,0.00865,0.507528,-2.799492,0.197983,1
111,'2023/12/21 03:08:48:308',1,-0.02988,-0.017957,0.006651,0.492237,-2.828973,0.213543,1
112,'2023/12/21 03:08:48:340',1,-0.027214,-0.009089,0.009745,0.478164,-2.851194,0.229093,1
113,'2023/12/21 03:08:48:374',1,-0.01213,0.006348,-0.009488,0.467326,-2.865294,0.241101,1
114,'2023/12/21 03:08:48:407',1,-0.029605,-0.015233,0.022606,0.459473,-2.8827,0.254066,1
115,'2023/12/21 03:08:48:441',1,0.034765,0.012293,-0.079215,0.454712,-2.908054,0.267092,1
116,'2023/12/21 03:08:48:473',1,0.014289,0.007852,-0.090901,0.445391,-2.928382,0.27415,1
117,'2023/12/21 03:08:48:507',1,0.017122,-0.009075,-0.031211,0.436948,-2.93918,0.276953,1
118,'2023/12/21 03:08:48:541',1,-0.012881,-0.0232,0.002033,0.435506,-2.93836,0.275776,1
119,'2023/12/21 03:08:48:574',1,-0.025509,-0.030256,-0.015366,0.435128,-2.935709,0.274615,1
120,'2023/12/21 03:08:48:608',1,-0.026398,-0.034168,0.035221,0.433742,-2.931259,0.272155,1
121,'2023/12/21 03:08:48:641',1,-0.025067,-0.027348,0.037232,0.436265,-2.924855,0.271288,1
122,'2023/12/21 03:08:48:676',1,-0.01025,-0.017568,0.038324,0.439668,-2.918956,0.271724,1
123,'2023/12/21 03:08:48:707',1,0.062101,0.002636,0.022573,0.441339,-2.912534,0.270035,1
124,'2023/12/21 03:08:48:741',1,0.04532,-0.019188,0.028585,0.440694,-2.910642,0.267,1
125,'2023/12/21 03:08:48:773',1,0.025953,-0.020682,0.00796,0.439953,-2.908995,0.263364,1
126,'2023/12/21 03:08:48:807',1,0.000249,-0.028309,-0.000701,0.438978,-2.906098,0.259475,1
127,'2023/12/21 03:08:48:841',1,-0.01179,-0.035781,-0.023921,0.436944,-2.906153,0.256306,1
128,'2023/12/21 03:08:48:876',1,-0.019205,-0.0409,-0.012723,0.435741,-2.908017,0.254782,1
129,'2023/12/21 03:08:48:909',1,-0.038452,-0.046502,-0.077536,0.436396,-2.905285,0.253938,1
